#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC05445.JPG	37.4914536694	140.9968065789	198.0867614746	
DSC05446.JPG	37.4914717977	140.9973889851	200.4302368164	
DSC05447.JPG	37.4914755441	140.9979390460	201.1076965332	
DSC05448.JPG	37.4914582184	140.9984989971	200.2887573242	
DSC05449.JPG	37.4914804940	140.9991094160	198.8385314941	
DSC05450.JPG	37.4914462303	140.9996632617	200.2566070557	
DSC05451.JPG	37.4914432850	141.0002430316	198.7512359619	
DSC05452.JPG	37.4914642271	141.0008306044	200.6384887695	
DSC05453.JPG	37.4914409397	141.0013952420	199.2523345947	
DSC05454.JPG	37.4914666785	141.0019546199	197.5849304199	
DSC05455.JPG	37.4914634794	141.0025480383	197.6660461426	
DSC05456.JPG	37.4914833200	141.0031095412	199.0890960693	
DSC05457.JPG	37.4914794077	141.0037070633	199.6312713623	
DSC05458.JPG	37.4914701110	141.0042748896	198.2300567627	
DSC05459.JPG	37.4914613233	141.0048818216	198.7865447998	
DSC05460.JPG	37.4914762175	141.0054398017	199.1547851562	
DSC05461.JPG	37.4914586399	141.0060023344	199.5269470215	
DSC05462.JPG	37.4920035867	141.0058891476	198.7147369385	
DSC05463.JPG	37.4920391574	141.0053011036	197.6992187500	
DSC05464.JPG	37.4920087634	141.0047337115	197.3698120117	
DSC05465.JPG	37.4920443580	141.0041065216	196.6972808838	
DSC05466.JPG	37.4919905074	141.0035157883	196.3881530762	
DSC05467.JPG	37.4920583776	141.0029372364	197.6031799316	
DSC05468.JPG	37.4920132293	141.0023463167	198.9579772949	
DSC05469.JPG	37.4920175350	141.0017158819	199.3840484619	
DSC05470.JPG	37.4920365655	141.0011069786	198.6172027588	
DSC05471.JPG	37.4920162630	141.0004781333	197.2667846680	
DSC05472.JPG	37.4920384398	140.9998849082	198.8386230469	
DSC05473.JPG	37.4920054101	140.9992403827	198.9645996094	
DSC05474.JPG	37.4920460480	140.9986548285	200.1150360107	
DSC05475.JPG	37.4920394916	140.9979860286	201.5759735107	
DSC05476.JPG	37.4920315537	140.9973348343	201.7687377930	
DSC05477.JPG	37.4920360278	140.9966685375	200.9967193604	
DSC05478.JPG	37.4919987020	140.9960099246	201.6193695068	
DSC05479.JPG	37.4920530958	140.9954195429	201.4302825928	
DSC05480.JPG	37.4920412465	140.9947794277	201.1961822510	
DSC05481.JPG	37.4920081451	140.9941779506	201.7419738770	
DSC05482.JPG	37.4920181338	140.9935320925	202.2304534912	
